Official_name,Old_name,SKY,NGVS_ra,NGVS_dec,x_g_gal,y_g_gal,Nuc_Flag,Index,Size,AxisRatio,PA,principleg_mag_cg
NGVSJ12:17:11.41+15:19:26.4,NGVS184.29761+15.324038_VCC226,0.5479999999999999,184.29754630000002,15.323993599999998,-100.0,-100.0,1,20,112.90374796658277,0.68200004,-72.53,12.061
NGVSJ12:17:19.65+11:56:36.5,NGVS184.33189+11.943463_VCC230,0.33899999999999997,184.3318761,11.9434644,-100.0,-100.0,1,21,50.04812944381632,0.8721,33.62,15.341
NGVSJ12:18:49.57+14:24:59.6,NGVS184.70669+14.416524_VCC307,0.9229999999999999,184.70654069999998,14.4165576,-100.0,-100.0,1,22,295.50266775855414,0.8096,7.74,10.172
NGVSJ12:18:50.89+07:51:43.1,NGVS184.71211+7.8619557_VCC308,0.337,184.712027,7.861979700000001,-100.0,-100.0,1,23,99.13903506681879,0.9098,-70.53,13.72
NGVSJ12:19:00.55+06:05:40.6,NGVS184.75228+6.0946265_VCC315,0.298,184.7523115,6.0946187000000025,-100.0,-100.0,1,24,58.04812589431192,0.7309,89.98,14.758
NGVSJ12:19:22.23+06:05:55.2,NGVS184.84272+6.0986724_VCC341,0.47,184.8426449,6.0986765,-100.0,-100.0,1,25,119.52940792960916,0.6976,49.47,12.050999999999998
NGVSJ12:19:23.22+05:49:29.6,NGVS184.8468+5.8249191_VCC345,0.612,184.8467458,5.824897099999999,-100.0,-100.0,0,26,239.2085478267568,0.7826,-22.37,10.583
NGVSJ12:19:30.57+14:52:39.6,NGVS184.87737+14.877631_VCC355,0.725,184.8773845,14.877653400000002,-100.0,-100.0,1,27,45.427806874647494,0.9233,-21.48,11.952
NGVSJ12:19:35.76+05:50:48.3,NGVS184.89903+5.8467571_VCC358,0.6920000000000001,184.8989866,5.8467607,-100.0,-100.0,1,28,53.48128558480165,0.8408,87.35,13.168
NGVSJ12:19:45.28+12:47:53.7,NGVS184.93868+12.798256_VCC369,0.2,184.93866930000002,12.798262,-100.0,-100.0,1,29,154.70053932883522,0.9351,2.97,11.329
NGVSJ12:20:07.49+07:41:30.7,NGVS185.03122+7.6918189_VCC393,0.27899999999999997,185.0311886,7.6918738,-100.0,-100.0,1,30,116.49732538723049,0.5273,-86.12,13.257
NGVSJ12:20:12.18+06:37:23.5,NGVS185.05079+6.6231811_VCC397,0.158,185.0507418,6.6231922999999995,-100.0,-100.0,1,31,58.5401045447365,0.7435,-47.45,14.912
NGVSJ12:21:17.83+11:30:37.7,NGVS185.32435+11.510665_VCC465,0.187,185.3242832,11.5104795,-100.0,-100.0,1,32,128.35294550115412,0.35039997,-24.89,12.377
NGVSJ12:21:32.74+14:36:22.8,NGVS185.38654+14.606137_VCC483,0.679,185.3864363,14.6063363,-100.0,-100.0,1,33,194.95722316803142,0.65849996,-63.63,11.595999999999998
NGVSJ12:21:38.77+15:44:42.4,NGVS185.41162+15.745094_VCC490,0.6509999999999999,185.41153789999998,15.7451112,-100.0,-100.0,1,34,173.10694322229068,0.8586,-81.46,13.402999999999999
NGVSJ12:21:40.80+11:30:10.2,NGVS185.41801+11.503159_VCC491,0.18100000000000002,185.4200154,11.5028418,-100.0,-100.0,1,35,125.4491959026153,0.887,-39.57,12.774000000000001
NGVSJ12:21:42.29+14:35:52.5,NGVS185.42665+14.59495_VCC497,1.011,185.42621169999998,14.597924599999999,-100.0,-100.0,1,36,225.16577001561456,0.28930002,0.08,11.982999999999999
